UserID,Group,Age,Gender,Location,Device,PageViews,ClickThroughRate,SessionDuration,FrequencyOfVisits,LastVisitDate,SignUps,Downloads,Purchases,FormSubmissions,NetPromoterScore,MostActiveTimeOfDay,ContentConsumed,UserJourneyPathway,FeatureInteraction,LayoutVariation,ColorScheme,CTAButton
1,Test,62,Female,North America,Tablet,4,0.7318146859035453,7.448806230505978,3,5/7/23 19:33,0,0,0,0,6,Morning,Lifestyle,Ad Click,None,Layout 1,Scheme 1,Button A
2,Test,65,Female,Europe,Mobile,7,0.8110362130180039,4.455856347,4,4/5/23 9:30,0,0,0,0,-2,Night,Entertainment,Homepage,Feature A,Layout 1,Scheme 1,Button A
3,Test,18,Female,Europe,Desktop,5,0.17685584898843565,4.816883019824228,6,2/23/23 9:57,0,0,0,1,-6,Morning,Entertainment,Direct,None,Layout 1,Scheme 1,Button A
4,Test,21,Female,North America,Tablet,11,0.9053145230152274,3.7721114690619935,1,3/13/23 0:47,0,0,0,0,0,Night,Educational,Direct,Feature B,Layout 1,Scheme 1,Button A
5,Test,21,Other,North America,Tablet,4,0.42806858639810963,10.471591953667307,5,3/31/23 17:12,0,0,0,0,-9,Afternoon,Lifestyle,Homepage,None,Layout 1,Scheme 1,Button A
6,Test,57,Male,Africa,Tablet,5,0.094089503,6.2643324096909465,4,2/22/23 19:29,0,0,0,0,-10,Afternoon,Lifestyle,Direct,None,Layout 1,Scheme 1,Button A
7,Test,27,Other,Asia,Tablet,4,0.2370573552510965,4.106311565581088,4,5/21/23 19:30,1,1,0,0,-10,Evening,Entertainment,Search,None,Layout 1,Scheme 1,Button A
8,Test,37,Female,Africa,Desktop,3,0.057469126,5.134136779104013,3,2/4/23 12:20,0,0,0,0,-5,Night,News,Direct,None,Layout 1,Scheme 1,Button A
9,Test,39,Female,Africa,Desktop,4,0.3793866559477056,4.969470214409283,3,6/24/23 4:44,0,0,0,1,4,Morning,Educational,Direct,Feature C,Layout 1,Scheme 1,Button A
10,Test,68,Female,South America,Desktop,7,0.022633753539035184,7.800210897976224,2,2/23/23 22:19,0,0,0,0,-8,Afternoon,News,Homepage,Feature B,Layout 1,Scheme 1,Button A
11,Test,54,Male,Africa,Desktop,3,0.8301398462114467,6.632836797938181,3,4/2/23 8:25,0,0,0,1,9,Morning,Educational,Search,None,Layout 1,Scheme 1,Button A
12,Test,41,Male,Europe,Tablet,4,0.7301414480152822,5.586146509990526,5,5/28/23 21:08,0,1,0,1,-3,Morning,News,Ad Click,None,Layout 1,Scheme 1,Button A
13,Test,24,Other,Oceania,Mobile,2,0.31714659620079333,3.783775997526682,2,5/31/23 2:08,1,0,1,0,-1,Afternoon,Educational,Homepage,Feature B,Layout 1,Scheme 1,Button A
14,Test,42,Female,Asia,Tablet,1,0.40695239367074376,3.1615656782424146,2,5/2/23 11:02,1,1,0,0,3,Morning,Educational,Search,Feature A,Layout 1,Scheme 1,Button A
15,Test,42,Male,North America,Tablet,3,0.7962773645622802,4.7508436073872256,3,5/13/23 21:45,0,0,0,0,-10,Afternoon,Lifestyle,Search,Feature B,Layout 1,Scheme 1,Button A
16,Test,30,Female,Europe,Desktop,4,0.7079963908733785,9.778690087172258,2,3/5/23 7:46,0,0,0,0,-6,Afternoon,News,Ad Click,Feature C,Layout 1,Scheme 1,Button A
17,Test,19,Other,North America,Tablet,3,0.7135747964474645,0.04439249,3,6/17/23 5:18,0,0,0,0,8,Morning,Lifestyle,Ad Click,Feature B,Layout 1,Scheme 1,Button A
18,Test,56,Other,South America,Tablet,4,0.9241948092956813,6.195301917072468,4,1/7/23 6:41,0,0,1,1,-1,Afternoon,Lifestyle,Search,None,Layout 1,Scheme 1,Button A
19,Test,57,Male,Africa,Tablet,4,0.26392835573810824,2.1432044796268923,1,1/6/23 11:42,0,0,0,0,2,Morning,News,Search,Feature C,Layout 1,Scheme 1,Button A
20,Test,41,Other,South America,Desktop,0,0.34788508580404853,5.8308684,3,1/16/23 8:31,1,0,0,0,-8,Morning,Entertainment,Direct,Feature C,Layout 1,Scheme 1,Button A
21,Test,64,Male,North America,Desktop,2,0.12778830924088713,4.109067154518928,2,1/18/23 9:42,0,0,0,0,-5,Afternoon,Lifestyle,Homepage,Feature B,Layout 1,Scheme 1,Button A
22,Test,42,Female,Africa,Tablet,9,0.4170491343138659,5.778719823482768,2,2/23/23 16:36,1,0,0,1,9,Night,Entertainment,Search,None,Layout 1,Scheme 1,Button A
23,Test,35,Male,Oceania,Mobile,2,0.6793293826415983,5.409159738254182,1,4/19/23 20:28,1,0,0,0,10,Evening,Lifestyle,Search,None,Layout 1,Scheme 1,Button A
24,Test,55,Other,Oceania,Desktop,5,0.099061513,5.239432401157171,5,5/3/23 3:27,1,0,0,1,-3,Morning,Lifestyle,Homepage,None,Layout 1,Scheme 1,Button A
25,Test,43,Female,Africa,Desktop,3,0.8053539364300722,4.854601937075859,7,4/4/23 4:19,0,0,1,1,6,Evening,Entertainment,Homepage,None,Layout 1,Scheme 1,Button A
